,Location,County,Mortality Risk %,Sex,Year
0,United States,All counties,1.55,Combined,1980
1,Alabama,All counties,1.91,Combined,1980
2,Alabama,Autauga,1.83,Combined,1980
3,Alabama,Baldwin,1.66,Combined,1980
4,Alabama,Barbour,2.19,Combined,1980
5,Alabama,Bibb,2.05,Combined,1980
6,Alabama,Blount,1.42,Combined,1980
7,Alabama,Bullock,2.66,Combined,1980
8,Alabama,Butler,2.14,Combined,1980
9,Alabama,Calhoun,1.74,Combined,1980
10,Alabama,Chambers,1.96,Combined,1980
11,Alabama,Cherokee,1.76,Combined,1980
12,Alabama,Chilton,1.83,Combined,1980
13,Alabama,Choctaw,2.19,Combined,1980
14,Alabama,Clarke,2.20,Combined,1980
15,Alabama,Clay,2.00,Combined,1980
16,Alabama,Cleburne,1.73,Combined,1980
17,Alabama,Coffee,1.72,Combined,1980
18,Alabama,Colbert,1.60,Combined,1980
19,Alabama,Conecuh,2.36,Combined,1980
20,Alabama,Coosa,2.06,Combined,1980
21,Alabama,Covington,1.75,Combined,1980
22,Alabama,Crenshaw,2.03,Combined,1980
23,Alabama,Cullman,1.41,Combined,1980
24,Alabama,Dale,1.50,Combined,1980
25,Alabama,Dallas,2.14,Combined,1980
26,Alabama,DeKalb,1.47,Combined,1980
27,Alabama,Elmore,1.82,Combined,1980
28,Alabama,Escambia,1.89,Combined,1980
29,Alabama,Etowah,1.72,Combined,1980
30,Alabama,Fayette,1.78,Combined,1980
31,Alabama,Franklin,1.82,Combined,1980
32,Alabama,Geneva,1.77,Combined,1980
33,Alabama,Greene,2.79,Combined,1980
34,Alabama,Hale,2.30,Combined,1980
35,Alabama,Henry,1.98,Combined,1980
36,Alabama,Houston,1.80,Combined,1980
37,Alabama,Jackson,1.70,Combined,1980
38,Alabama,Jefferson,2.11,Combined,1980
39,Alabama,Lamar,1.90,Combined,1980
40,Alabama,Lauderdale,1.41,Combined,1980
41,Alabama,Lawrence,1.65,Combined,1980
42,Alabama,Lee,1.75,Combined,1980
43,Alabama,Limestone,1.48,Combined,1980
44,Alabama,Lowndes,2.57,Combined,1980
45,Alabama,Macon,2.46,Combined,1980
46,Alabama,Madison,1.63,Combined,1980
47,Alabama,Marengo,2.39,Combined,1980
48,Alabama,Marion,1.76,Combined,1980
49,Alabama,Marshall,1.74,Combined,1980
50,Alabama,Mobile,1.98,Combined,1980
51,Alabama,Monroe,2.12,Combined,1980
52,Alabama,Montgomery,2.25,Combined,1980
53,Alabama,Morgan,1.59,Combined,1980
54,Alabama,Perry,2.07,Combined,1980
55,Alabama,Pickens,2.12,Combined,1980
56,Alabama,Pike,2.03,Combined,1980
57,Alabama,Randolph,2.11,Combined,1980
58,Alabama,Russell,2.20,Combined,1980
59,Alabama,Saint Clair,1.54,Combined,1980
60,Alabama,Shelby,1.54,Combined,1980
61,Alabama,Sumter,2.70,Combined,1980
62,Alabama,Talladega,2.03,Combined,1980
63,Alabama,Tallapoosa,1.91,Combined,1980
64,Alabama,Tuscaloosa,1.91,Combined,1980
65,Alabama,Walker,1.82,Combined,1980
66,Alabama,Washington,2.18,Combined,1980
67,Alabama,Wilcox,2.58,Combined,1980
68,Alabama,Winston,1.86,Combined,1980
69,Alaska,All counties,1.78,Combined,1980
70,Alaska,Aleutians East Borough,1.96,Combined,1980
71,Alaska,Aleutians West Census Area,1.96,Combined,1980
72,Alaska,Anchorage Municipality,1.45,Combined,1980
73,Alaska,Bethel Census Area,3.11,Combined,1980
74,Alaska,Bristol Bay Borough,2.15,Combined,1980
75,Alaska,Denali Borough,3.21,Combined,1980
76,Alaska,Dillingham Census Area,3.07,Combined,1980
77,Alaska,Fairbanks North Star Borough,1.45,Combined,1980
78,Alaska,Haines Borough,1.60,Combined,1980
79,Alaska,Hoonah-Angoon Census Area,1.99,Combined,1980
80,Alaska,Juneau City and Borough,1.49,Combined,1980
81,Alaska,Kenai Peninsula Borough,1.66,Combined,1980
82,Alaska,Ketchikan Gateway Borough,1.68,Combined,1980
83,Alaska,Kodiak Island Borough,2.10,Combined,1980
84,Alaska,Kusilvak Census Area,3.69,Combined,1980
85,Alaska,Lake and Peninsula Borough,3.07,Combined,1980
86,Alaska,Matanuska-Susitna Borough,1.56,Combined,1980
87,Alaska,Nome Census Area,3.73,Combined,1980
88,Alaska,North Slope Borough,3.63,Combined,1980
89,Alaska,Northwest Arctic Borough,3.86,Combined,1980
90,Alaska,Petersburg Borough,1.68,Combined,1980
91,Alaska,Prince of Wales-Hyder Census Area,1.68,Combined,1980
92,Alaska,Sitka City and Borough,1.71,Combined,1980
93,Alaska,Skagway Municipality,1.99,Combined,1980
94,Alaska,Southeast Fairbanks Census Area,1.95,Combined,1980
95,Alaska,Valdez-Cordova Census Area,1.95,Combined,1980
96,Alaska,Wrangell City and Borough,1.68,Combined,1980
97,Alaska,Yakutat City and Borough,1.99,Combined,1980
98,Alaska,Yukon-Koyukuk Census Area,3.21,Combined,1980
99,Arizona,All counties,1.61,Combined,1980
100,Arizona,Apache,2.13,Combined,1980
101,Arizona,Cochise,1.57,Combined,1980
102,Arizona,Coconino,1.67,Combined,1980
103,Arizona,Gila,1.98,Combined,1980
104,Arizona,Graham,1.76,Combined,1980
105,Arizona,Greenlee,1.69,Combined,1980
106,Arizona,La Paz,1.66,Combined,1980
107,Arizona,Maricopa,1.57,Combined,1980
108,Arizona,Mohave,1.72,Combined,1980
109,Arizona,Navajo,2.04,Combined,1980
110,Arizona,Pima,1.48,Combined,1980
111,Arizona,Pinal,1.82,Combined,1980
112,Arizona,Santa Cruz,1.34,Combined,1980
113,Arizona,Yavapai,1.59,Combined,1980
114,Arizona,Yuma,1.66,Combined,1980
115,Arkansas,All counties,1.78,Combined,1980
116,Arkansas,Arkansas,1.80,Combined,1980
117,Arkansas,Ashley,1.94,Combined,1980
118,Arkansas,Baxter,1.59,Combined,1980
119,Arkansas,Benton,1.50,Combined,1980
120,Arkansas,Boone,1.54,Combined,1980
121,Arkansas,Bradley,1.92,Combined,1980
122,Arkansas,Calhoun,2.14,Combined,1980
123,Arkansas,Carroll,1.63,Combined,1980
124,Arkansas,Chicot,2.25,Combined,1980
125,Arkansas,Clark,1.59,Combined,1980
126,Arkansas,Clay,1.73,Combined,1980
127,Arkansas,Cleburne,1.46,Combined,1980
128,Arkansas,Cleveland,1.68,Combined,1980
129,Arkansas,Columbia,2.05,Combined,1980
130,Arkansas,Conway,1.60,Combined,1980
